"Time","FLOWTOSA"
"and",400.00
"Date","Discharge (ML/Day)"
"","Mean"
09:00:00 30/08/2007,        1113
09:00:00 31/08/2007,        1196
09:00:00 01/09/2007,        1155
09:00:00 02/09/2007,        1136
09:00:00 03/09/2007,        1147
09:00:00 04/09/2007,        1109
09:00:00 05/09/2007,        1089
09:00:00 06/09/2007,        1057
09:00:00 07/09/2007,        1119
09:00:00 08/09/2007,        1243
09:00:00 09/09/2007,        1324
09:00:00 10/09/2007,        1367
09:00:00 11/09/2007,        1389
09:00:00 12/09/2007,        1388
09:00:00 13/09/2007,        1506
09:00:00 14/09/2007,        1899
09:00:00 15/09/2007,        2153
09:00:00 16/09/2007,        2134
09:00:00 17/09/2007,        2123
09:00:00 18/09/2007,        2107
09:00:00 19/09/2007,""
09:00:00 20/09/2007,""
09:00:00 21/09/2007,""
09:00:00 22/09/2007,""
09:00:00 23/09/2007,""
09:00:00 24/09/2007,""
09:00:00 25/09/2007,""
09:00:00 26/09/2007,""
09:00:00 27/09/2007,""
09:00:00 28/09/2007,        2098
09:00:00 29/09/2007,        2074
09:00:00 30/09/2007,        1832
09:00:00 01/10/2007,        2053
09:00:00 02/10/2007,        2470
09:00:00 03/10/2007,        2614
09:00:00 04/10/2007,        2631
09:00:00 05/10/2007,        2614
09:00:00 06/10/2007,        2637
09:00:00 07/10/2007,        2637
09:00:00 08/10/2007,        2622
09:00:00 09/10/2007,        2536
09:00:00 10/10/2007,        2447
09:00:00 11/10/2007,        2513
09:00:00 12/10/2007,        2600
09:00:00 13/10/2007,        2609
09:00:00 14/10/2007,        2531
09:00:00 15/10/2007,        2551
09:00:00 16/10/2007,        2744
09:00:00 17/10/2007,        2676
09:00:00 18/10/2007,        2517
09:00:00 19/10/2007,        2585
09:00:00 20/10/2007,        2604
09:00:00 21/10/2007,        2591
09:00:00 22/10/2007,        2614
09:00:00 23/10/2007,        2626
09:00:00 24/10/2007,        2637
09:00:00 25/10/2007,        2593
09:00:00 26/10/2007,        2631
09:00:00 27/10/2007,        2740
09:00:00 28/10/2007,        2758
09:00:00 29/10/2007,        2569
09:00:00 30/10/2007,        2499
09:00:00 31/10/2007,        2597
09:00:00 01/11/2007,        3258
09:00:00 02/11/2007,        3518
09:00:00 03/11/2007,        3432
09:00:00 04/11/2007,        3463
09:00:00 05/11/2007,        3337
09:00:00 06/11/2007,        3491
09:00:00 07/11/2007,        3640
09:00:00 08/11/2007,        3287
09:00:00 09/11/2007,        3031
09:00:00 10/11/2007,        3214
09:00:00 11/11/2007,        3379
09:00:00 12/11/2007,        3474
09:00:00 13/11/2007,        3449
09:00:00 14/11/2007,        3361
09:00:00 15/11/2007,        3379
09:00:00 16/11/2007,        3423
09:00:00 17/11/2007,        3461
09:00:00 18/11/2007,        3535
09:00:00 19/11/2007,        3433
09:00:00 20/11/2007,        3470
09:00:00 21/11/2007,        3593
09:00:00 22/11/2007,        3405
09:00:00 23/11/2007,        3292
09:00:00 24/11/2007,        3423
09:00:00 25/11/2007,        3400
09:00:00 26/11/2007,        3383
09:00:00 27/11/2007,        3435
09:00:00 28/11/2007,        3425
09:00:00 29/11/2007,        3378
09:00:00 30/11/2007,        3468
09:00:00 01/12/2007,        3552
09:00:00 02/12/2007,        3479
09:00:00 03/12/2007,        3475
09:00:00 04/12/2007,        3438
09:00:00 05/12/2007,        3509
09:00:00 06/12/2007,        3527
09:00:00 07/12/2007,        3493
09:00:00 08/12/2007,        3470
09:00:00 09/12/2007,        3543
09:00:00 10/12/2007,        3503
09:00:00 11/12/2007,        3305
09:00:00 12/12/2007,        3486
09:00:00 13/12/2007,        3622
09:00:00 14/12/2007,        3586
09:00:00 15/12/2007,        3700
09:00:00 16/12/2007,        3718
09:00:00 17/12/2007,        3704
09:00:00 18/12/2007,        3801
09:00:00 19/12/2007,        3791
09:00:00 20/12/2007,        3914
09:00:00 21/12/2007,        3837
09:00:00 22/12/2007,        3802
09:00:00 23/12/2007,        3736
09:00:00 24/12/2007,        3965
09:00:00 25/12/2007,        4152
09:00:00 26/12/2007,        4021
09:00:00 27/12/2007,        3875
09:00:00 28/12/2007,        3507
09:00:00 29/12/2007,        3377
09:00:00 30/12/2007,        3756
09:00:00 31/12/2007,        4198
09:00:00 01/01/2008,        3983
09:00:00 02/01/2008,        3772
09:00:00 03/01/2008,        3946
09:00:00 04/01/2008,        4082
09:00:00 05/01/2008,        4220
09:00:00 06/01/2008,        4293
09:00:00 07/01/2008,        4208
09:00:00 08/01/2008,        4332
09:00:00 09/01/2008,        4567
09:00:00 10/01/2008,        4503
09:00:00 11/01/2008,        4415
09:00:00 12/01/2008,        4600
09:00:00 13/01/2008,        4807
09:00:00 14/01/2008,        4875
09:00:00 15/01/2008,        4978
09:00:00 16/01/2008,        5126
09:00:00 17/01/2008,        5203
09:00:00 18/01/2008,        5142
09:00:00 19/01/2008,        5267
09:00:00 20/01/2008,        5158
09:00:00 21/01/2008,        4767
09:00:00 22/01/2008,        4726
09:00:00 23/01/2008,        4840
09:00:00 24/01/2008,        4909
09:00:00 25/01/2008,        4633
09:00:00 26/01/2008,        4318
09:00:00 27/01/2008,        4416
09:00:00 28/01/2008,        4130
09:00:00 29/01/2008,        3760
09:00:00 30/01/2008,        4263
09:00:00 31/01/2008,        4519
09:00:00 01/02/2008,        4488
09:00:00 02/02/2008,        4620
09:00:00 03/02/2008,        4725
09:00:00 04/02/2008,        4977
09:00:00 05/02/2008,        5159
09:00:00 06/02/2008,        5076
09:00:00 07/02/2008,        5045
09:00:00 08/02/2008,        4709
09:00:00 09/02/2008,        4173
09:00:00 10/02/2008,        3695
09:00:00 11/02/2008,        3444
09:00:00 12/02/2008,        3507
09:00:00 13/02/2008,        3593
09:00:00 14/02/2008,        3467
09:00:00 15/02/2008,        3477
09:00:00 16/02/2008,        3510
09:00:00 17/02/2008,        3522
09:00:00 18/02/2008,        3559
09:00:00 19/02/2008,        3489
09:00:00 20/02/2008,        3471
09:00:00 21/02/2008,        3600
09:00:00 22/02/2008,        3633
09:00:00 23/02/2008,        3523
09:00:00 24/02/2008,        3467
09:00:00 25/02/2008,        3523
09:00:00 26/02/2008,        3496
09:00:00 27/02/2008,        3477
09:00:00 28/02/2008,        3575
09:00:00 29/02/2008,        3452
09:00:00 01/03/2008,        3695
09:00:00 02/03/2008,        3370
09:00:00 03/03/2008,        2837
09:00:00 04/03/2008,        3063
09:00:00 05/03/2008,        3145
09:00:00 06/03/2008,        3094
09:00:00 07/03/2008,        3117
09:00:00 08/03/2008,        3409
09:00:00 09/03/2008,        3511
09:00:00 10/03/2008,        3486
09:00:00 11/03/2008,        3547
09:00:00 12/03/2008,        3604
09:00:00 13/03/2008,        3551
09:00:00 14/03/2008,        3525
09:00:00 15/03/2008,        3650
09:00:00 16/03/2008,        3806
09:00:00 17/03/2008,        3864
09:00:00 18/03/2008,        3799
09:00:00 19/03/2008,        3804
09:00:00 20/03/2008,        3854
09:00:00 21/03/2008,        3819
09:00:00 22/03/2008,        3764
09:00:00 23/03/2008,        3741
09:00:00 24/03/2008,        3817
09:00:00 25/03/2008,        3832
09:00:00 26/03/2008,        3673
09:00:00 27/03/2008,        3612
09:00:00 28/03/2008,        3597
09:00:00 29/03/2008,        3624
09:00:00 30/03/2008,        3337
09:00:00 31/03/2008,        3000
09:00:00 01/04/2008,        2916
09:00:00 02/04/2008,        2921
09:00:00 03/04/2008,        3135
09:00:00 04/04/2008,        3194
09:00:00 05/04/2008,        3022
09:00:00 06/04/2008,        2952
09:00:00 07/04/2008,        2987
09:00:00 08/04/2008,        2923
09:00:00 09/04/2008,        2622
09:00:00 10/04/2008,        2241
09:00:00 11/04/2008,        2444
09:00:00 12/04/2008,        2557
09:00:00 13/04/2008,        2470
09:00:00 14/04/2008,        2386
09:00:00 15/04/2008,        2330
09:00:00 16/04/2008,        2381
09:00:00 17/04/2008,        2348
09:00:00 18/04/2008,        2352
09:00:00 19/04/2008,        2227
09:00:00 20/04/2008,        2142
09:00:00 21/04/2008,        2226
09:00:00 22/04/2008,        2253
09:00:00 23/04/2008,        2178
09:00:00 24/04/2008,        2126
09:00:00 25/04/2008,        2136
09:00:00 26/04/2008,        2190
09:00:00 27/04/2008,        2141
09:00:00 28/04/2008,        2100
09:00:00 29/04/2008,        2069
09:00:00 30/04/2008,        2018
09:00:00 01/05/2008,        2068
09:00:00 02/05/2008,        2070
09:00:00 03/05/2008,        2046
09:00:00 04/05/2008,        2071
09:00:00 05/05/2008,        2073
09:00:00 06/05/2008,        2015
09:00:00 07/05/2008,        1926
09:00:00 08/05/2008,        1926
09:00:00 09/05/2008,        1830
09:00:00 10/05/2008,        1840
09:00:00 11/05/2008,        1840
09:00:00 12/05/2008,        1848
09:00:00 13/05/2008,        1798
09:00:00 14/05/2008,        1856
09:00:00 15/05/2008,        1943
09:00:00 16/05/2008,        1838
09:00:00 17/05/2008,        1780
09:00:00 18/05/2008,        1757
09:00:00 19/05/2008,        1679
09:00:00 20/05/2008,        1644
09:00:00 21/05/2008,        1655
09:00:00 22/05/2008,        1665
09:00:00 23/05/2008,        1665
09:00:00 24/05/2008,        1646
09:00:00 25/05/2008,        1668
09:00:00 26/05/2008,        1702
09:00:00 27/05/2008,        1722
09:00:00 28/05/2008,        1688
09:00:00 29/05/2008,        1699
09:00:00 30/05/2008,        1628
09:00:00 31/05/2008,        1493
09:00:00 01/06/2008,        1400
09:00:00 02/06/2008,        1304
09:00:00 03/06/2008,        1551
09:00:00 04/06/2008,        1761
09:00:00 05/06/2008,        1798
09:00:00 06/06/2008,        1807
09:00:00 07/06/2008,        1696
09:00:00 08/06/2008,        1603
09:00:00 09/06/2008,        1620
09:00:00 10/06/2008,        1715
09:00:00 11/06/2008,        1694
09:00:00 12/06/2008,        1570
09:00:00 13/06/2008,        1515
09:00:00 14/06/2008,        1518
09:00:00 15/06/2008,        1577
09:00:00 16/06/2008,        1572
09:00:00 17/06/2008,        2395
09:00:00 18/06/2008,        6524
09:00:00 19/06/2008,        6017
09:00:00 20/06/2008,        2703
09:00:00 21/06/2008,        2226
09:00:00 22/06/2008,        1837
09:00:00 23/06/2008,        1379
09:00:00 24/06/2008,        1030
09:00:00 25/06/2008,        1127
09:00:00 26/06/2008,        1306
09:00:00 27/06/2008,        1283
09:00:00 28/06/2008,        1249
09:00:00 29/06/2008,        1316
09:00:00 30/06/2008,        1372
09:00:00 01/07/2008,        1432
09:00:00 02/07/2008,        1462
09:00:00 03/07/2008,        1410
09:00:00 04/07/2008,        1415
09:00:00 05/07/2008,        1337
09:00:00 06/07/2008,        1228
09:00:00 07/07/2008,        1405
09:00:00 08/07/2008,        1550
09:00:00 09/07/2008,        1397
09:00:00 10/07/2008,        1269
09:00:00 11/07/2008,        1256
09:00:00 12/07/2008,        1317
09:00:00 13/07/2008,        1331
09:00:00 14/07/2008,        1450
09:00:00 15/07/2008,        1567
09:00:00 16/07/2008,        1485
09:00:00 17/07/2008,        1423
09:00:00 18/07/2008,        1512
09:00:00 19/07/2008,        1283
09:00:00 20/07/2008,        1117
09:00:00 21/07/2008,        1186
09:00:00 22/07/2008,        1139
09:00:00 23/07/2008,        1144
09:00:00 24/07/2008,        1161
09:00:00 25/07/2008,        1152
09:00:00 26/07/2008,        1073
09:00:00 27/07/2008,        1010
09:00:00 28/07/2008,        1108
09:00:00 29/07/2008,        1124
09:00:00 30/07/2008,        1088
09:00:00 31/07/2008,        1067
09:00:00 01/08/2008,        1029
09:00:00 02/08/2008,        1232
09:00:00 03/08/2008,        1579
09:00:00 04/08/2008,        1885
09:00:00 05/08/2008,        2022
09:00:00 06/08/2008,        2108
09:00:00 07/08/2008,        2301
09:00:00 08/08/2008,        2218
09:00:00 09/08/2008,        2141
09:00:00 10/08/2008,        2332
09:00:00 11/08/2008,        2436
09:00:00 12/08/2008,        2337
09:00:00 13/08/2008,        2408
09:00:00 14/08/2008,        2258
09:00:00 15/08/2008,        2106
09:00:00 16/08/2008,        2189
09:00:00 17/08/2008,        2203
09:00:00 18/08/2008,        2223
09:00:00 19/08/2008,        2158
09:00:00 20/08/2008,        2038
09:00:00 21/08/2008,        1993
09:00:00 22/08/2008,        2004
09:00:00 23/08/2008,        2014
09:00:00 24/08/2008,        2025
09:00:00 25/08/2008,        2035
09:00:00 26/08/2008,        2024
09:00:00 27/08/2008,        2014
09:00:00 28/08/2008,        2014
09:00:00 29/08/2008,        2014
09:00:00 30/08/2008,        2026
09:00:00 31/08/2008,        2138
09:00:00 01/09/2008,        2086
09:00:00 02/09/2008,        1876
09:00:00 03/09/2008,        1957
09:00:00 04/09/2008,        2092
09:00:00 05/09/2008,        2027
09:00:00 06/09/2008,        1983
09:00:00 07/09/2008,        1993
09:00:00 08/09/2008,        1993
09:00:00 09/09/2008,        2295
09:00:00 10/09/2008,        2531
09:00:00 11/09/2008,        2470
09:00:00 12/09/2008,        2498
09:00:00 13/09/2008,        2552
09:00:00 14/09/2008,        2552
09:00:00 15/09/2008,        2465
09:00:00 16/09/2008,        2620
09:00:00 17/09/2008,        2754
09:00:00 18/09/2008,        2684
09:00:00 19/09/2008,        2814
09:00:00 20/09/2008,        2960
09:00:00 21/09/2008,        2860
09:00:00 22/09/2008,        2854
09:00:00 23/09/2008,        2949
09:00:00 24/09/2008,        2924
09:00:00 25/09/2008,        2964
09:00:00 26/09/2008,        3035
09:00:00 27/09/2008,        2987
09:00:00 28/09/2008,        2937
09:00:00 29/09/2008,        2877
09:00:00 30/09/2008,        3020
09:00:00 01/10/2008,        3209
09:00:00 02/10/2008,        3326
09:00:00 03/10/2008,        3393
09:00:00 04/10/2008,        3381
09:00:00 05/10/2008,        3372
09:00:00 06/10/2008,        3417
09:00:00 07/10/2008,        3415
09:00:00 08/10/2008,        3381
09:00:00 09/10/2008,        3386
09:00:00 10/10/2008,        3422
09:00:00 11/10/2008,        3449
09:00:00 12/10/2008,        3417
09:00:00 13/10/2008,        3425
09:00:00 14/10/2008,        3468
09:00:00 15/10/2008,        3603
09:00:00 16/10/2008,        3648
09:00:00 17/10/2008,        3729
09:00:00 18/10/2008,        3779
09:00:00 19/10/2008,        3625
09:00:00 20/10/2008,        3580
09:00:00 21/10/2008,        3560
09:00:00 22/10/2008,        3619
09:00:00 23/10/2008,        3658
09:00:00 24/10/2008,        3737
09:00:00 25/10/2008,        3888
09:00:00 26/10/2008,        3776
09:00:00 27/10/2008,        3782
09:00:00 28/10/2008,        3779
09:00:00 29/10/2008,        3707
09:00:00 30/10/2008,        3814
09:00:00 31/10/2008,        3960
09:00:00 01/11/2008,        4109
09:00:00 02/11/2008,        4182
09:00:00 03/11/2008,        4241
09:00:00 04/11/2008,        4206
09:00:00 05/11/2008,        4174
09:00:00 06/11/2008,        4247
09:00:00 07/11/2008,        4222
09:00:00 08/11/2008,        4290
09:00:00 09/11/2008,        4217
09:00:00 10/11/2008,        4071
09:00:00 11/11/2008,        4239
09:00:00 12/11/2008,        4207
09:00:00 13/11/2008,        4063
09:00:00 14/11/2008,        4193
09:00:00 15/11/2008,        4236
09:00:00 16/11/2008,        4271
09:00:00 17/11/2008,        4363
09:00:00 18/11/2008,        4154
09:00:00 19/11/2008,        4026
09:00:00 20/11/2008,        4128
09:00:00 21/11/2008,        4130
09:00:00 22/11/2008,        4113
09:00:00 23/11/2008,        4068
09:00:00 24/11/2008,        4012
09:00:00 25/11/2008,        4012
09:00:00 26/11/2008,        4100
09:00:00 27/11/2008,        4150
09:00:00 28/11/2008,        4129
09:00:00 29/11/2008,        4178
09:00:00 30/11/2008,        4018
09:00:00 01/12/2008,        4023
09:00:00 02/12/2008,        4189
09:00:00 03/12/2008,        4262
09:00:00 04/12/2008,        4370
09:00:00 05/12/2008,        4323
09:00:00 06/12/2008,        4377
09:00:00 07/12/2008,        4519
09:00:00 08/12/2008,        4487
09:00:00 09/12/2008,        4665
09:00:00 10/12/2008,        4851
09:00:00 11/12/2008,        4678
