"Time","409216A","409216A"
"and",100.00,2000.00
"Date","Water Level (m)","Rainfall (mm)"
"","Mean","Total"
09:00:00 20/06/1992,"",""
09:00:00 21/06/1992,     125.132,         0.2
09:00:00 22/06/1992,     125.136,         0.0
09:00:00 23/06/1992,     125.137,         1.2
09:00:00 24/06/1992,     125.146,""
09:00:00 25/06/1992,     125.128,""
09:00:00 26/06/1992,     125.119,""
09:00:00 27/06/1992,     125.141,""
09:00:00 28/06/1992,     125.143,""
09:00:00 29/06/1992,     125.128,""
09:00:00 30/06/1992,     125.105,""
09:00:00 01/07/1992,     125.077,""
09:00:00 02/07/1992,     125.037,""
09:00:00 03/07/1992,"",""
09:00:00 04/07/1992,"",""
09:00:00 05/07/1992,"",""
09:00:00 06/07/1992,"",""
09:00:00 07/07/1992,"",""
09:00:00 08/07/1992,"",""
09:00:00 09/07/1992,"",""
09:00:00 10/07/1992,"",""
09:00:00 11/07/1992,"",""
09:00:00 12/07/1992,"",""
09:00:00 13/07/1992,"",""
09:00:00 14/07/1992,"",""
09:00:00 15/07/1992,"",""
09:00:00 16/07/1992,"",""
09:00:00 17/07/1992,"",""
09:00:00 18/07/1992,"",""
09:00:00 19/07/1992,"",""
09:00:00 20/07/1992,"",""
09:00:00 21/07/1992,"",""
09:00:00 22/07/1992,"",""
09:00:00 23/07/1992,"",""
09:00:00 24/07/1992,"",""
09:00:00 25/07/1992,"",""
09:00:00 26/07/1992,"",""
09:00:00 27/07/1992,"",""
09:00:00 28/07/1992,"",""
09:00:00 29/07/1992,"",""
09:00:00 30/07/1992,"",""
09:00:00 31/07/1992,"",""
09:00:00 01/08/1992,"",""
09:00:00 02/08/1992,"",""
09:00:00 03/08/1992,"",""
09:00:00 04/08/1992,"",""
09:00:00 05/08/1992,"",""
09:00:00 06/08/1992,"",""
09:00:00 07/08/1992,"",""
09:00:00 08/08/1992,"",""
09:00:00 09/08/1992,"",""
09:00:00 10/08/1992,"",""
09:00:00 11/08/1992,"",""
09:00:00 12/08/1992,"",""
09:00:00 13/08/1992,"",""
09:00:00 14/08/1992,"",""
09:00:00 15/08/1992,"",""
09:00:00 16/08/1992,"",""
09:00:00 17/08/1992,"",""
09:00:00 18/08/1992,"",""
09:00:00 19/08/1992,"",""
09:00:00 20/08/1992,"",""
09:00:00 21/08/1992,"",""
09:00:00 22/08/1992,"",""
09:00:00 23/08/1992,"",""
09:00:00 24/08/1992,"",""
09:00:00 25/08/1992,"",""
09:00:00 26/08/1992,"",""
09:00:00 27/08/1992,"",""
09:00:00 28/08/1992,"",""
09:00:00 29/08/1992,"",""
09:00:00 30/08/1992,"",""
09:00:00 31/08/1992,"",""
09:00:00 01/09/1992,"",""
09:00:00 02/09/1992,"",""
09:00:00 03/09/1992,"",""
09:00:00 04/09/1992,"",""
09:00:00 05/09/1992,"",""
09:00:00 06/09/1992,"",""
09:00:00 07/09/1992,"",""
09:00:00 08/09/1992,"",""
09:00:00 09/09/1992,"",""
09:00:00 10/09/1992,"",""
09:00:00 11/09/1992,"",""
09:00:00 12/09/1992,"",""
09:00:00 13/09/1992,"",""
09:00:00 14/09/1992,"",""
09:00:00 15/09/1992,"",""
09:00:00 16/09/1992,"",""
09:00:00 17/09/1992,"",""
09:00:00 18/09/1992,"",""
09:00:00 19/09/1992,"",""
09:00:00 20/09/1992,"",""
09:00:00 21/09/1992,"",""
09:00:00 22/09/1992,"",""
09:00:00 23/09/1992,"",""
09:00:00 24/09/1992,"",""
09:00:00 25/09/1992,"",""
09:00:00 26/09/1992,"",""
09:00:00 27/09/1992,"",""
09:00:00 28/09/1992,"",""
09:00:00 29/09/1992,"",""
09:00:00 30/09/1992,"",""
09:00:00 01/10/1992,"",""
09:00:00 02/10/1992,"",""
09:00:00 03/10/1992,"",""
09:00:00 04/10/1992,"",""
09:00:00 05/10/1992,"",""
09:00:00 06/10/1992,"",""
